Time,Distance_cm,Water_Percent,Pump
15:39:17,5,75,ON
15:39:17,5,75,ON
15:39:18,4,80,ON
15:39:18,4,80,ON
15:39:18,4,80,ON
15:39:19,4,80,ON
15:39:19,4,80,ON
15:39:19,4,80,ON
15:39:20,3,85,ON
15:39:20,4,80,ON
15:39:20,4,80,ON
15:39:21,4,80,ON
15:39:21,4,80,ON
15:39:21,4,80,ON
15:39:22,4,80,ON
15:39:22,3,85,ON
15:39:22,3,85,ON
15:39:23,3,85,ON
15:39:23,4,80,ON
15:39:23,4,80,ON
15:39:24,10,50,ON
15:39:24,10,50,ON
15:39:24,14,30,ON
15:39:25,12,40,ON
15:39:25,11,45,ON
15:39:25,12,40,ON
15:39:26,12,40,ON
15:39:26,12,40,ON
15:39:26,12,40,ON
15:39:27,11,45,ON
15:39:27,12,40,ON
15:39:27,11,45,ON
15:39:28,11,45,ON
15:39:28,11,45,ON
15:39:28,10,50,ON
15:39:29,9,55,ON
15:39:29,8,60,ON
15:39:29,6,70,ON
15:39:30,4,80,ON
15:39:30,4,80,ON
15:39:30,4,80,ON
15:39:31,4,80,ON
15:39:31,3,85,ON
15:39:31,2,90,OFF
15:39:32,2,90,OFF
15:39:32,2,90,OFF
15:39:32,3,85,OFF
15:39:33,6,70,OFF
15:39:33,9,55,OFF
15:39:33,9,55,OFF
15:39:34,7,65,OFF
15:39:34,7,65,OFF
15:39:34,6,70,OFF
15:39:35,7,65,OFF
15:39:35,4,80,OFF
15:39:35,4,80,OFF
15:39:35,3,85,OFF
15:39:36,3,85,OFF
15:39:36,3,85,OFF
15:39:36,3,85,OFF
15:39:37,5,75,OFF
15:39:37,6,70,OFF
15:39:37,7,65,OFF
15:39:38,7,65,OFF
15:39:38,9,55,OFF
15:39:38,10,50,OFF
15:39:39,10,50,OFF
15:39:39,11,45,OFF
15:39:39,12,40,OFF
15:39:40,13,35,OFF
15:39:40,17,15,ON
15:39:40,14,30,ON
15:39:41,9,55,ON
15:39:41,8,60,ON
15:39:41,9,55,ON
15:39:42,16,20,ON
15:39:42,11,45,ON
15:39:42,6,70,ON
15:39:43,5,75,ON
15:39:43,4,80,ON
15:39:43,4,80,ON
15:39:44,4,80,ON
15:39:44,3,85,ON
15:39:44,4,80,ON
15:39:45,3,85,ON
15:39:45,3,85,ON
15:39:45,3,85,ON
15:39:46,3,85,ON
15:39:46,4,80,ON
15:39:46,4,80,ON
15:39:47,3,85,ON
15:39:47,3,85,ON
15:39:47,3,85,ON
15:39:48,3,85,ON
15:39:48,3,85,ON
15:39:48,3,85,ON
15:39:49,3,85,ON
15:39:49,3,85,ON
15:39:49,3,85,ON
15:39:50,3,85,ON
15:39:50,3,85,ON
15:39:50,3,85,ON
15:39:51,3,85,ON
15:39:51,3,85,ON
15:39:51,3,85,ON
15:39:52,3,85,ON
15:39:52,3,85,ON
15:39:52,3,85,ON
15:39:53,3,85,ON
15:39:53,3,85,ON
15:39:53,3,85,ON
15:39:54,3,85,ON
15:39:54,3,85,ON
15:39:54,3,85,ON
15:39:55,3,85,ON
15:39:55,3,85,ON
15:39:55,3,85,ON
15:39:56,3,85,ON
15:39:56,2,90,OFF
15:39:56,2,90,OFF
15:39:57,2,90,OFF
15:39:57,2,90,OFF
15:39:57,2,90,OFF
15:39:58,2,90,OFF
15:39:58,2,90,OFF
15:39:58,2,90,OFF
15:39:59,2,90,OFF
15:39:59,2,90,OFF
15:39:59,2,90,OFF
15:40:00,2,90,OFF
15:40:00,2,90,OFF
15:40:00,2,90,OFF
15:40:01,3,85,OFF
15:40:01,2,90,OFF
15:40:01,2,90,OFF
15:40:02,2,90,OFF
15:40:02,2,90,OFF
15:40:02,2,90,OFF
15:40:03,2,90,OFF
15:40:03,2,90,OFF
15:40:03,2,90,OFF
15:40:04,2,90,OFF
15:40:04,2,90,OFF
15:40:04,2,90,OFF
15:40:05,2,90,OFF
15:40:05,2,90,OFF
15:40:05,2,90,OFF
15:40:06,2,90,OFF
15:40:06,2,90,OFF
15:40:06,2,90,OFF
15:40:07,2,90,OFF
15:40:07,2,90,OFF
15:40:07,2,90,OFF
15:40:08,2,90,OFF
15:40:08,2,90,OFF
15:40:08,2,90,OFF
15:40:09,2,90,OFF
15:40:09,4,80,OFF
15:40:09,4,80,OFF
15:40:10,1,95,OFF
15:40:10,1,95,OFF
15:40:10,2,90,OFF
15:40:11,3,85,OFF
15:40:11,3,85,OFF
15:40:11,3,85,OFF
15:40:12,3,85,OFF
15:40:12,3,85,OFF
15:40:12,1,95,OFF
15:40:13,2,90,OFF
15:40:13,2,90,OFF
15:40:13,4,80,OFF
15:40:14,4,80,OFF
15:40:14,5,75,OFF
15:40:14,5,75,OFF
15:40:15,6,70,OFF
15:40:15,8,60,OFF
15:40:15,10,50,OFF
15:40:16,13,35,OFF
15:40:16,14,30,OFF
15:40:16,16,20,ON
15:40:17,13,35,ON
15:40:17,9,55,ON
15:40:17,8,60,ON
15:40:18,6,70,ON
15:40:18,5,75,ON
15:40:18,5,75,ON
15:40:19,5,75,ON
15:40:19,5,75,ON
15:40:19,4,80,ON
15:40:20,4,80,ON
09:52:26,2,90,OFF
09:52:26,3,85,OFF
09:52:27,3,85,OFF
09:52:27,3,85,OFF
09:52:27,3,85,OFF
09:52:28,3,85,OFF
09:52:28,3,85,OFF
09:52:28,3,85,OFF
09:52:29,3,85,OFF
09:52:29,3,85,OFF
09:52:29,3,85,OFF
09:52:30,3,85,OFF
09:52:30,3,85,OFF
09:52:30,3,85,OFF
09:52:31,4,80,OFF
09:52:31,3,85,OFF
09:52:31,4,80,OFF
09:52:32,3,85,OFF
09:52:32,3,85,OFF
09:52:32,3,85,OFF
09:52:33,3,85,OFF
09:52:33,3,85,OFF
09:52:33,3,85,OFF
09:52:34,4,80,OFF
09:52:34,4,80,OFF
